Name,Lat,Long,Year,Mean
UNDERBOOL,-35.1667,141.8167,1920,27.14
UNDERBOOL,-35.1667,141.8167,1930,24.25
UNDERBOOL,-35.1667,141.8167,1940,22.94
UNDERBOOL,-35.1667,141.8167,1950,24.17
UNDERBOOL,-35.1667,141.8167,1960,28.15
UNDERBOOL,-35.1667,141.8167,1970,27.22
UNDERBOOL,-35.1667,141.8167,2030,26.04
WAGANT,-35.1000,142.5000,1920,29.99
WAGANT,-35.1000,142.5000,1930,22.69
WAGANT,-35.1000,142.5000,1940,24.06
WAGANT,-35.1000,142.5000,1950,25.12
WAGANT,-35.1000,142.5000,2030,25.42
WALPA (DANYO),-35.0924,141.2611,1920,31.28
WALPA (DANYO),-35.0924,141.2611,1930,28.27
WALPA (DANYO),-35.0924,141.2611,1940,25.46
WALPA (DANYO),-35.0924,141.2611,1950,23.18
WALPA (DANYO),-35.0924,141.2611,1960,24.91
WALPA (DANYO),-35.0924,141.2611,1970,25.74
WALPA (DANYO),-35.0924,141.2611,1980,27.33
WALPA (DANYO),-35.0924,141.2611,1990,21.85
WALPA (DANYO),-35.0924,141.2611,2000,26.77
WALPA (DANYO),-35.0924,141.2611,2010,21.33
WALPA (DANYO),-35.0924,141.2611,2030,25.2
WALPEUP RESEARCH,-35.1201,142.0040,1940,22.91
WALPEUP RESEARCH,-35.1201,142.0040,1950,26.44
WALPEUP RESEARCH,-35.1201,142.0040,1960,30.65
WALPEUP RESEARCH,-35.1201,142.0040,1970,27.68
WALPEUP RESEARCH,-35.1201,142.0040,1980,32.65
WALPEUP RESEARCH,-35.1201,142.0040,1990,26.21
WALPEUP RESEARCH,-35.1201,142.0040,2000,28.89
WALPEUP RESEARCH,-35.1201,142.0040,2010,24.92
WALPEUP RESEARCH,-35.1201,142.0040,2020,22.51
WALPEUP RESEARCH,-35.1201,142.0040,2030,27.57
WALPEUP,-35.1369,142.0237,1920,29.54
WALPEUP,-35.1369,142.0237,1930,26.17
WALPEUP,-35.1369,142.0237,1940,24.96
WALPEUP,-35.1369,142.0237,1950,26.46
WALPEUP,-35.1369,142.0237,1960,31.77
